si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
taga-bukid 	  bukid 	  taga 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
madalas 	  dalas 	  ma 	  _ 	  _ 	  _ 	ADVERB
dumalaw 	  dalaw 	  _ 	  um 	  _ 	  _ 	VERB
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
ako'y 	  ako'y 	  _ 	  _ 	  _ 	  _ 	PRON
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
sakit 	  sakit 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ngayo'y 	  ngayo'y 	  _ 	  _ 	  _ 	  _ 	ADVERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
pumapasok 	  pasok 	  _ 	  um 	  _ 	  pa 	VERB
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
nagsakristan 	  sakristan 	  nag 	  _ 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
raw 	  raw 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
sakristan 	  sakristan 	  _ 	  _ 	  _ 	  _ 	NOUN
mayor 	  mayor 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
dapat 	  dapat 	  _ 	  _ 	  _ 	  _ 	AUX
pumasok 	  pasok 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
paaralan 	  paaralan 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
sakristan 	  sakristan 	  _ 	  _ 	  _ 	  _ 	NOUN
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
nakapagpapababa 	  baba 	  nakapagpa 	  _ 	  _ 	  pa 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
pagkatao 	  tao 	  pagka 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
at 	at 	_ 	_ 	_ 	_ 	CONJ
pinagtiyagaan 	  tiyaga 	  pinag 	  _ 	  an 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
lang 	  lang 	  _ 	  _ 	  _ 	  _ 	PART
ninyo 	  ninyo 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bagong 	  bago 	  _ 	  _ 	  ng 	  _ 	ADJ
mag-aaral 	  aral 	  mag 	  _ 	  _ 	  a 	NOUN
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
wika 	  wika 	  _ 	  _ 	  _ 	  _ 	CONJ
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
ibarra 	  ibarra 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ano 	  ano 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
aking 	  aking 	  _ 	  _ 	  _ 	  _ 	DET
magagawa 	  gawa 	  ma 	  _ 	  _ 	  ga 	VERB
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
tanong 	  tanong 	  _ 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
guro 	  guro 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
napalitan 	  palit 	  na 	  _ 	  an 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
aming 	  aming 	  _ 	  _ 	  _ 	  _ 	DET
kura 	  kura 	  _ 	  _ 	  _ 	  _ 	NOUN
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	SCONJ
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
nakatanaw 	  tanaw 	  naka 	  _ 	  _ 	  _ 	ADJ
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pag-asa 	  asa 	  pag 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nagtangkang 	  tangka 	  nag 	  _ 	  ng 	  _ 	VERB
muli 	  muli 	  _ 	  _ 	  _ 	  _ 	ADVERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pamamaraang 	  paraan 	  pa 	  _ 	  g 	  ma 	NOUN
mapapakinabangan 	  kinabang 	  mapa 	  _ 	  an 	  pa 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bata 	  bata 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ginagamit 	  gamit 	  _ 	  in 	  _ 	  ga 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
maraming 	  dami 	  ma 	  _ 	  ng 	  _ 	ADJ
paaralan 	  aral 	  pa 	  _ 	  an 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
aklat 	  aklat 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nasusulat 	  sulat 	  na 	  _ 	  _ 	  su 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kastila 	  kastila 	  _ 	  _ 	  _ 	  _ 	PROPN
maliban 	  maliban 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
katesismong 	  tesismong 	  ka 	  _ 	  _ 	  _ 	NOUN
tagalog 	  tagalog 	  _ 	  _ 	  _ 	  _ 	PROPN
tulad 	  tulad 	  _ 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
nobena 	  nobena 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
trisagio 	  trisagio 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
katesismo 	  tesismo 	  ka 	  _ 	  _ 	  _ 	NOUN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
antete 	  antete 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

imposibleng 	  imposibleng 	  _ 	  _ 	  _ 	  _ 	ADVERB
maituro 	  turo 	  mai 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanila 	  kanila 	  _ 	  _ 	  _ 	  _ 	DET
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kastila 	  kastila 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
kahirapang 	  hirap 	  ka 	  _ 	  ang 	  _ 	NOUN
maisa-Tagalog 	  Tagalog 	  maisa 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
lahat 	  lahat 	  _ 	  _ 	  _ 	  _ 	CONJ
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	SCONJ
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
ginamit 	  gamit 	  _ 	  in 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
bahagi 	  bahagi 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
tagalog 	  tagalog 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
urbana 	  urbana 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
felisa 	  felisa 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
ukol 	  ukol 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagsasaka 	  saka 	  pag 	  _ 	  _ 	  sa 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
minsan 	  minsan 	  _ 	  _ 	  _ 	  _ 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
tinatagalog 	  tagalog 	  _ 	  in 	  _ 	  ta 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kasaysayan 	  saysay 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pilipinas 	  pilipinas 	  _ 	  _ 	  _ 	  _ 	PROPN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
barrarera 	  barrarera 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
maituro 	  turo 	  mai 	  _ 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heograpiya 	  heograpiya 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pilipinas 	  pilipinas 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
kinopya 	  kopya 	  _ 	  in 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mapa 	  mapa 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kapitolyo 	  kapitolyo 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

gumamit 	  gamit 	  _ 	  um 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
sahig 	  sahig 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
baldosa 	  baldosa 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kinalaban 	  laban 	  ka 	  in 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kababaihan 	  bai 	  ka 	  _ 	  han 	  ba 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ipinatawag 	  tawag 	  ipa 	  in 	  _ 	  _ 	VERB
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bagong 	  bago 	  _ 	  _ 	  ng 	  _ 	ADJ
kura 	  kura 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

pinagsabihan 	  sabi 	  pinag 	  _ 	  han 	  _ 	VERB
akong 	  akong 	  _ 	  _ 	  _ 	  _ 	PRON
relihiyon 	  relihiyon 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
una 	  una 	  _ 	  _ 	  _ 	  _ 	CONJ
kong 	  kong 	  _ 	  _ 	  _ 	  _ 	PRON
ituro 	  turo 	  i 	  _ 	  _ 	  _ 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
ipasaulo 	  saulo 	  ipa 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bata 	  bata 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
misteryo 	  misteryo 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
trisagio 	  trisagio 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
doctrina 	  doctrina 	  _ 	  _ 	  _ 	  _ 	PROPN
cristiana 	  cristiana 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
dito 	  dito 	  _ 	  _ 	  _ 	  _ 	ADVERB
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
naging 	  naging 	  _ 	  _ 	  _ 	  _ 	VERB
loro 	  loro 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bata 	  bata 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

isinasaulo 	  saulo 	  i 	  in 	  _ 	  sa 	VERB
nila 	  nila 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
bagay 	  bagay 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
di 	  di 	  _ 	  _ 	  _ 	  _ 	ADVERB
nila 	  nila 	  _ 	  _ 	  _ 	  _ 	PRON
naiintindihan 	  tindi 	  na 	  in 	  han 	  i 	VERB
kahit 	  kahit 	  _ 	  _ 	  _ 	  _ 	SCONJ
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
salita 	  salita 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
huwag 	  huwag 	  _ 	  _ 	  _ 	  _ 	ADVERB
kayong 	  kayong 	  _ 	  _ 	  _ 	  _ 	PRON
mag-alala 	alala 	mag 	_ 	_ 	_ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ani 	  ani 	  _ 	  _ 	  _ 	  _ 	VERB
ibarra 	  ibarra 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
inaanyayahan 	  anyaya 	  in 	  _ 	  han 	  _ 	VERB
akong 	  akong 	  _ 	  _ 	  _ 	  _ 	PRON
dumalo 	  dalo 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pulong 	  pulong 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tribunal 	  tribunal 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
tinyente 	  tinyente 	  _ 	  _ 	  _ 	  _ 	NOUN
mayor 	  mayor 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

baka 	  baka 	  _ 	  _ 	  _ 	  _ 	ADVERB
makita 	  kita 	  ma 	  _ 	  _ 	  _ 	VERB
natin 	  natin 	  _ 	  _ 	  _ 	  _ 	PRON
doon 	  doon 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kalutasan 	  lutas 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
suliranin 	  suliranin 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
kabanata 	  kabanata 	  _ 	  _ 	  _ 	  _ 	NOUN
20 	  20 	  _ 	  _ 	  _ 	  _ 	CONJ
: 	  : 	  _ 	  _ 	  _ 	  _ 	SYM
pulong 	  pulong 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tribunal 	  tribunal 	  _ 	  _ 	  _ 	  _ 	NOUN
maluwag 	  luwag 	  ma 	  _ 	  _ 	  _ 	ADJ
at 	at 	_ 	_ 	_ 	_ 	CONJ
mahaba 	  haba 	  ma 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pulungan 	  pulong 	  _ 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

mapapansing 	  pansin 	  ma 	  _ 	  g 	  pa 	VERB
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
labinlimang 	  labinlimang 	  _ 	  _ 	  _ 	  _ 	CONJ
metro 	  metro 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
haba 	  haba 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
sampung 	  sampu 	  _ 	  _ 	  ng 	  _ 	CONJ
metro 	  metro 	  _ 	  _ 	  _ 	  _ 	NOUN
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lapad 	  lapad 	  _ 	  _ 	  _ 	  _ 	NOUN
nito 	  nito 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

napapalamutian 	  palamuti 	  napa 	  _ 	  an 	  _ 	ADJ
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
iba't 	  iba't 	  _ 	  _ 	  _ 	  _ 	ADJ
ibang 	  ibang 	  _ 	  _ 	  _ 	  _ 	ADJ
dibuho 	  dibuho 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
kasagwaan 	  sagwa 	  ka 	  _ 	  an 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
kasiningan 	  sining 	  ka 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
sulok 	  sulok 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bulwagan 	  bulwag 	  _ 	  _ 	  an 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
naroon 	  naroon 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kinakalawang 	  kalawa 	  _ 	  in 	  ng 	  ka 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
espada 	  espada 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
punyal 	  punyal 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
panugis 	  tugis 	  pang 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pulis-munisipal 	  pulis-munisipal 	  _ 	  _ 	  _ 	  _ 	NOUN
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
criminal 	  criminal 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nakasabit 	  sabit 	  naka 	  _ 	  _ 	  _ 	ADJ
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pader 	  pader 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
malaking 	  laki 	  ma 	  _ 	  ng 	  _ 	ADJ
larawan 	  larawan 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
ari 	  ari 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
espanya 	  espanya 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
harapan 	  harap 	  _ 	  _ 	  n 	  _ 	NOUN
nito 	  nito 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
malaking 	  laki 	  ma 	  _ 	  ng 	  _ 	ADJ
mesang 	  mesa 	  _ 	  _ 	  ng 	  _ 	NOUN
papalibutan 	  libot 	  papa 	  _ 	  an 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
silya 	  silya 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tribunal 	  tribunal 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
pulungan 	  pulong 	  _ 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
san 	  san 	  _ 	  _ 	  _ 	  _ 	PROPN
diego 	  diego 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
bulwagan 	  bulwagan 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
makikita 	  kita 	  ma 	  _ 	  _ 	  ki 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kinikilalang 	  kilala 	  _ 	  in 	  ng 	  ki 	VERB
mamamayan 	  mamayan 	  _ 	  _ 	  _ 	  ma 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nagbibigay 	  bigay 	  nag 	  _ 	  _ 	  bi 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
mungkahi 	  mungkahi 	  _ 	  _ 	  _ 	  _ 	NOUN
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ikagagaling 	  galing 	  ika 	  _ 	  _ 	  ga 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bayan 	  bayan 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
kinabibilangan 	  bilang 	  kina 	  _ 	  an 	  bi 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
dalawang 	  dalawang 	  _ 	  _ 	  _ 	  _ 	CONJ
pangkat 	  pangkat 	  _ 	  _ 	  _ 	  _ 	NOUN
- 	  - 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lapiang 	  lapiang 	  _ 	  _ 	  _ 	  _ 	PROPN
konserbatibo 	  konserbatibo 	  _ 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
binubuo 	  buo 	  _ 	  in 	  _ 	  bu 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
matatanda 	  tanda 	  ma 	  _ 	  _ 	  ta 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lapiang 	  lapiang 	  _ 	  _ 	  _ 	  _ 	PROPN
liberal 	  liberal 	  _ 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
binubuo 	  buo 	  _ 	  in 	  _ 	  bu 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kabataan 	  bata 	  ka 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
yata 	  yata 	  _ 	  _ 	  _ 	  _ 	ADVERB
